,experiment,node_id,label,label_2,loss,count,std,mean,var,hop,min,max,outliers,window
101,rnd__2019-05-01_01:07_,aaaa::212:7409:9:909,Normal,Normal,76.0,6,752.3134984831788,895.0,565975.6,1,280,4653,0,25
102,rnd__2019-05-01_01:07_,aaaa::212:7409:9:909,Normal,Normal,88.0,3,507.2911721421272,890.3333333333334,257344.33333333334,1,280,4653,0,25
103,rnd__2019-05-01_01:07_,aaaa::212:7409:9:909,Normal,Normal,84.0,4,668.9471204811334,1057.25,447490.25,1,280,4653,0,25
104,rnd__2019-05-01_01:07_,aaaa::212:7406:6:606,Normal,Normal,60.0,10,1165.3041996739641,2569.1,1357933.8777777778,2,499,7977,0,25
105,rnd__2019-05-01_01:07_,aaaa::212:7406:6:606,Normal,Normal,72.0,7,1055.3089369378772,2360.4285714285716,1113676.9523809524,2,499,7977,0,25
106,rnd__2019-05-01_01:07_,aaaa::212:7406:6:606,Normal,Normal,84.0,4,1587.4048790400009,2852.75,2519854.25,2,499,7977,0,25
107,rnd__2019-05-01_01:07_,aaaa::212:7406:6:606,Normal,Normal,100.0,0,0.0,0.0,0.0,2,499,7977,0,25
108,rnd__2019-05-01_13:41_,aaaa::212:7406:6:606,Normal,Normal,42.0,29,795.7453255613315,996.8620689655172,633210.6231527094,2,321,10130,2,50
109,rnd__2019-05-01_13:41_,aaaa::212:7406:6:606,Normal,Normal,72.0,14,2445.66918975447,2615.3571428571427,5981297.785714285,2,321,10130,1,50
110,rnd__2019-05-01_13:41_,aaaa::212:7403:3:303,Normal,Normal,56.00000000000001,22,581.8964591553116,554.1818181818181,338603.4891774892,1,119,5930,1,50
111,rnd__2019-05-01_13:41_,aaaa::212:7403:3:303,Normal,Normal,92.0,4,408.264620068896,792.0,166680.0,1,119,5930,0,50
112,rnd__2019-05-01_13:41_,aaaa::212:7407:7:707,Normal,Normal,88.0,6,687.4732479643601,1213.3333333333333,472619.4666666666,3,728,12960,0,50
113,rnd__2019-05-01_13:41_,aaaa::212:7407:7:707,Normal,Normal,88.0,6,4085.6021057693156,5689.166666666667,16692144.566666666,3,728,12960,0,50
114,rnd__2019-05-01_13:41_,aaaa::212:7409:9:909,Normal,Normal,86.0,7,967.9992129079839,1155.857142857143,937022.4761904762,3,636,11190,1,50
115,rnd__2019-05-01_13:41_,aaaa::212:7409:9:909,Normal,Normal,94.0,3,1518.4804904904113,2991.0,2305783.0,3,636,11190,0,50
116,rnd__2019-05-01_13:41_,aaaa::212:7408:8:808,Normal,Normal,62.0,19,985.7309930418517,1499.421052631579,971665.590643275,4,667,14670,1,50
117,rnd__2019-05-01_13:41_,aaaa::212:7408:8:808,Normal,Normal,98.0,1,0.0,1900.0,0.0,4,667,14670,0,50
118,rnd__2019-05-01_13:41_,aaaa::212:7405:5:505,Normal,Normal,60.0,20,1123.5901797832087,1625.45,1262454.8921052634,3,467,6286,2,50
119,rnd__2019-05-01_13:41_,aaaa::212:7405:5:505,Normal,Normal,80.0,10,1148.1939441284878,2936.0,1318349.3333333333,3,467,6286,0,50
120,rnd__2019-05-01_13:41_,aaaa::212:7402:2:202,Normal,Normal,80.0,10,705.6322303044585,1149.8,497916.8444444444,2,289,17980,0,50
121,rnd__2019-05-01_13:41_,aaaa::212:7402:2:202,Normal,Normal,86.0,7,5837.329795622065,5746.857142857143,34074419.14285714,2,289,17980,1,50
122,rnd__2019-05-01_13:41_,aaaa::212:7404:4:404,Normal,Normal,76.0,12,2065.368649682402,1888.75,4265747.659090909,2,300,13805,1,50
123,rnd__2019-05-01_13:41_,aaaa::212:7404:4:404,Normal,Normal,74.0,13,2771.765069872283,2438.4615384615386,7682681.602564104,2,300,13805,1,50
124,rnd__2019-05-01_13:41_,aaaa::212:740a:a:a0a,Normal,Normal,70.0,15,920.9182529255398,2223.0,848090.4285714285,4,999,9732,0,50
125,rnd__2019-05-01_13:41_,aaaa::212:740a:a:a0a,Normal,Normal,90.0,5,1068.2655100676047,2075.8,1141191.2,4,999,9732,0,50
126,normal__2019-05-01_13:43_,aaaa::212:7403:3:303,Normal,Normal,44.0,28,460.6334894905185,621.7857142857143,212183.2116402116,1,148,5629,2,50
127,normal__2019-05-01_13:43_,aaaa::212:7403:3:303,Normal,Normal,68.0,16,1082.6285297059806,1343.0,1172084.5333333334,1,148,5629,1,50
128,normal__2019-05-01_13:43_,aaaa::212:7407:7:707,Normal,Normal,56.00000000000001,22,1071.694749620262,1750.2727272727273,1148529.6363636362,3,764,11771,1,50
129,normal__2019-05-01_13:43_,aaaa::212:7407:7:707,Normal,Normal,70.0,15,2295.0949767669645,5954.333333333333,5267460.952380953,3,764,11771,0,50
130,normal__2019-05-01_13:43_,aaaa::212:7408:8:808,Normal,Normal,56.00000000000001,22,1487.4549176478029,2139.318181818182,2212522.132034632,4,886,13769,1,50
131,normal__2019-05-01_13:43_,aaaa::212:7408:8:808,Normal,Normal,74.0,13,3522.530336896898,4666.846153846154,12408219.974358974,4,886,13769,1,50
132,normal__2019-05-01_13:43_,aaaa::212:7405:5:505,Normal,Normal,54.0,23,1081.1194370439143,1670.6521739130435,1168819.2371541501,3,674,8924,1,50
133,normal__2019-05-01_13:43_,aaaa::212:7405:5:505,Normal,Normal,84.0,8,1612.6564099114762,2961.875,2600660.6964285714,3,674,8924,0,50
134,normal__2019-05-01_13:43_,aaaa::212:7409:9:909,Normal,Normal,70.0,15,805.3423820841372,1461.7333333333333,648576.3523809524,3,601,5693,0,50
135,normal__2019-05-01_13:43_,aaaa::212:7409:9:909,Normal,Normal,98.0,1,0.0,5693.0,0.0,3,601,5693,0,50
136,normal__2019-05-01_13:43_,aaaa::212:7404:4:404,Normal,Normal,57.99999999999999,21,533.044146300062,856.1904761904761,284136.0619047619,2,284,6708,1,50
137,normal__2019-05-01_13:43_,aaaa::212:7404:4:404,Normal,Normal,94.0,3,316.7527953046876,1807.3333333333333,100332.33333333333,2,284,6708,0,50
138,normal__2019-05-01_13:43_,aaaa::212:7402:2:202,Normal,Normal,52.0,24,603.5977401250422,1234.6666666666667,364330.231884058,4,557,7717,1,50
139,normal__2019-05-01_13:43_,aaaa::212:7402:2:202,Normal,Normal,94.0,3,1474.463066113673,1940.3333333333333,2174041.3333333335,4,557,7717,0,50
140,normal__2019-05-01_13:43_,aaaa::212:7406:6:606,Normal,Normal,44.0,28,1183.8501950802452,1161.392857142857,1401501.2843915345,2,361,11150,2,50
141,normal__2019-05-01_13:43_,aaaa::212:7406:6:606,Normal,Normal,98.0,1,0.0,1610.0,0.0,2,361,11150,0,50
142,normal__2019-05-01_13:43_,aaaa::212:740a:a:a0a,Normal,Normal,62.0,19,404.84873357344645,1746.0526315789473,163902.49707602343,4,851,12233,2,50
143,normal__2019-05-01_13:43_,aaaa::212:740a:a:a0a,Normal,Normal,90.0,5,2369.312558528317,3720.0,5613642.0,4,851,12233,0,50
144,rnd__2019-05-01_01:07_,aaaa::212:7408:8:808,Normal,Normal,70.0,15,1771.0116076089716,1796.4,3136482.1142857145,2,445,7519,1,50
145,rnd__2019-05-01_01:07_,aaaa::212:7408:8:808,Normal,Normal,80.0,10,939.0738936727918,1481.0,881859.7777777778,2,445,7519,0,50
146,rnd__2019-05-01_01:07_,aaaa::212:7405:5:505,Normal,Normal,72.0,14,1321.6362236607727,2367.0,1746722.3076923077,2,600,7148,0,50
147,rnd__2019-05-01_01:07_,aaaa::212:7405:5:505,Normal,Normal,92.0,4,1306.0329245466976,2343.0,1705722.0,2,600,7148,0,50
148,rnd__2019-05-01_01:07_,aaaa::212:740a:a:a0a,Normal,Normal,92.0,4,915.4431986748276,2527.25,838036.25,2,460,5075,0,50
149,rnd__2019-05-01_01:07_,aaaa::212:740a:a:a0a,Normal,Normal,92.0,4,643.927208619111,2051.25,414642.25,2,460,5075,0,50
150,rnd__2019-05-01_01:07_,aaaa::212:7404:4:404,Normal,Normal,66.0,17,2216.6451996601686,1661.764705882353,4913515.941176469,2,401,9943,1,50
151,rnd__2019-05-01_01:07_,aaaa::212:7404:4:404,Normal,Normal,70.0,15,771.3077453878174,1238.2666666666667,594915.638095238,2,401,9943,1,50
152,rnd__2019-05-01_01:07_,aaaa::212:7402:2:202,Normal,Normal,80.0,10,703.4917673055362,2681.0,494900.6666666667,2,652,4950,1,50
153,rnd__2019-05-01_01:07_,aaaa::212:7402:2:202,Normal,Normal,88.0,6,775.3546285410309,1942.0,601174.8,2,652,4950,0,50
154,rnd__2019-05-01_01:07_,aaaa::212:7407:7:707,Normal,Normal,72.0,14,1017.5509599248365,1050.5714285714287,1035409.9560439562,1,140,4390,0,50
155,rnd__2019-05-01_01:07_,aaaa::212:7407:7:707,Normal,Normal,32.0,34,508.4939455801043,583.2941176470588,258566.09269162206,1,140,4390,3,50
156,rnd__2019-05-01_01:07_,aaaa::212:7403:3:303,Normal,Normal,98.0,1,0.0,3465.0,0.0,3,1640,9086,0,50
157,rnd__2019-05-01_01:07_,aaaa::212:7403:3:303,Normal,Normal,98.0,1,0.0,4007.0,0.0,3,1640,9086,0,50
158,rnd__2019-05-01_01:07_,aaaa::212:7409:9:909,Normal,Normal,78.0,11,1202.3190092483774,1255.0,1445571.0,1,280,4653,1,50
159,rnd__2019-05-01_01:07_,aaaa::212:7409:9:909,Normal,Normal,86.0,7,563.4597632146458,985.7142857142857,317486.9047619047,1,280,4653,0,50
160,rnd__2019-05-01_01:07_,aaaa::212:7406:6:606,Normal,Normal,66.0,17,1092.0955907848747,2483.176470588235,1192672.7794117646,2,499,7977,0,50
161,rnd__2019-05-01_01:07_,aaaa::212:7406:6:606,Normal,Normal,92.0,4,1587.4048790400009,2852.75,2519854.25,2,499,7977,0,50
162,rnd__2019-05-01_13:41_,aaaa::212:7406:6:606,Normal,Normal,56.99999999999999,43,1691.8570419148466,1523.8139534883721,2862380.250276855,2,321,10130,1,100
163,rnd__2019-05-01_13:41_,aaaa::212:7403:3:303,Normal,Normal,74.0,26,558.646171216974,590.7692307692307,312085.54461538466,1,119,5930,1,100
164,rnd__2019-05-01_13:41_,aaaa::212:7407:7:707,Normal,Normal,88.0,12,3642.215512694038,3451.25,13265733.840909092,3,728,12960,1,100
165,rnd__2019-05-01_13:41_,aaaa::212:7409:9:909,Normal,Normal,90.0,10,1386.6816665855376,1706.4,1922886.0444444444,3,636,11190,0,100
166,rnd__2019-05-01_13:41_,aaaa::212:7408:8:808,Normal,Normal,80.0,20,963.6121995142192,1519.45,928548.4710526315,4,667,14670,1,100
167,rnd__2019-05-01_13:41_,aaaa::212:7405:5:505,Normal,Normal,70.0,30,1277.1474451102833,2062.3,1631105.5965517242,3,467,6286,1,100
168,rnd__2019-05-01_13:41_,aaaa::212:7402:2:202,Normal,Normal,83.0,17,4300.768329099841,3042.705882352941,18496608.220588237,2,289,17980,1,100
169,rnd__2019-05-01_13:41_,aaaa::212:7404:4:404,Normal,Normal,75.0,25,2423.848730153486,2174.6,5875042.666666667,2,300,13805,2,100
170,rnd__2019-05-01_13:41_,aaaa::212:740a:a:a0a,Normal,Normal,80.0,20,932.4355544260926,2186.2,869436.0631578948,4,999,9732,0,100
171,normal__2019-05-01_13:43_,aaaa::212:7403:3:303,Normal,Normal,56.00000000000001,44,815.6362605437193,884.0454545454545,665262.509513742,1,148,5629,2,100
172,normal__2019-05-01_13:43_,aaaa::212:7407:7:707,Normal,Normal,63.0,37,2664.049073114826,3454.6216216216217,7097157.463963965,3,764,11771,3,100
173,normal__2019-05-01_13:43_,aaaa::212:7408:8:808,Normal,Normal,65.0,35,2698.386988461032,3078.114285714286,7281292.339495798,4,886,13769,2,100
174,normal__2019-05-01_13:43_,aaaa::212:7405:5:505,Normal,Normal,69.0,31,1339.3359235565333,2003.8709677419354,1793820.7161290322,3,674,8924,3,100
175,normal__2019-05-01_13:43_,aaaa::212:7409:9:909,Normal,Normal,84.0,16,1313.1313830560393,1726.1875,1724314.0291666666,3,601,5693,1,100
176,normal__2019-05-01_13:43_,aaaa::212:7404:4:404,Normal,Normal,76.0,24,599.2078768759177,975.0833333333334,359050.07971014496,2,284,6708,1,100
177,normal__2019-05-01_13:43_,aaaa::212:7402:2:202,Normal,Normal,73.0,27,735.2546877378313,1313.0740740740741,540599.4558404558,4,557,7717,2,100
178,normal__2019-05-01_13:43_,aaaa::212:7406:6:606,Normal,Normal,71.0,29,1165.4987198662434,1176.8620689655172,1358387.266009852,2,361,11150,2,100
179,normal__2019-05-01_13:43_,aaaa::212:740a:a:a0a,Normal,Normal,76.0,24,1332.3456425537197,2157.2916666666665,1775144.9112318843,4,851,12233,1,100
